                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.68057,                0.83659,                 1.0079,                0.69249,                    0.4,                0.48897,                0.40515,                0.87629,                 2.2043,                 1.1226,              0.0069805,              0.0069805,              0.0069805
                     64,                0.63891,                0.83254,                0.94816,                0.71056,                0.73874,                0.87238,                0.70498,                0.77474,                0.97032,                 1.0928,               0.006931,               0.006931,               0.006931
                     65,                  0.592,                 0.6616,                0.97432,                0.71056,                0.73874,                0.87238,                0.70498,                0.77474,                0.97032,                 1.0928,              0.0068815,              0.0068815,              0.0068815
                     66,                0.56594,                0.83823,                0.95297,                0.85005,                    0.6,                0.71197,                0.59014,                0.71193,                  1.171,                  1.054,               0.006832,               0.006832,               0.006832
                     67,                0.62507,                0.65168,                0.94563,                 0.7418,                    0.6,                0.62195,                0.53996,                0.65526,                 1.3975,                0.99447,              0.0067825,              0.0067825,              0.0067825
                     68,                0.67329,                0.71689,                 1.0436,                0.66458,                    0.7,                0.60172,                0.52016,                 0.7364,                 1.7006,                 1.0543,               0.006733,               0.006733,               0.006733
                     69,                0.53571,                0.55204,                0.87148,                0.66458,                    0.7,                0.60172,                0.52016,                 0.7364,                 1.7006,                 1.0543,              0.0066835,              0.0066835,              0.0066835
                     70,                 0.5349,                0.53914,                0.89059,                0.61549,                    0.7,                0.56709,                0.49715,                0.64189,                 1.7659,                0.99616,               0.006634,               0.006634,               0.006634
                     71,                0.64275,                0.79912,                0.96174,                0.83154,                0.49462,                0.57088,                0.51179,                0.68935,                 1.8112,                 1.0121,              0.0065845,              0.0065845,              0.0065845
                     72,                0.63988,                0.69107,                0.91381,                0.68642,                    0.6,                0.59771,                0.49132,                0.74865,                  1.474,                 1.0373,               0.006535,               0.006535,               0.006535
                     73,                0.79994,                0.83027,                 1.0812,                0.68642,                    0.6,                0.59771,                0.49132,                0.74865,                  1.474,                 1.0373,              0.0064855,              0.0064855,              0.0064855
                     74,                0.72237,                0.80092,                0.98686,                0.74676,                    0.6,                0.62598,                0.51298,                0.75812,                 1.3332,                 1.0881,               0.006436,               0.006436,               0.006436
                     75,                0.55366,                0.59002,                 0.9532,                0.45431,                    0.5,                0.35253,                 0.2792,                0.78531,                 1.8994,                 1.1088,              0.0063865,              0.0063865,              0.0063865
                     76,                0.54064,                0.61998,                0.94626,                0.74437,                    0.7,                0.69295,                0.52326,                0.85871,                 2.1385,                 1.1267,               0.006337,               0.006337,               0.006337
                     77,                0.52135,                0.48333,                0.93098,                0.74437,                    0.7,                0.69295,                0.52326,                0.85871,                 2.1385,                 1.1267,              0.0062875,              0.0062875,              0.0062875
                     78,                 0.6735,                0.60008,                0.96763,                0.73378,                    0.7,                0.76077,                0.61796,                0.85986,                 1.6355,                 1.2195,               0.006238,               0.006238,               0.006238
                     79,                0.57631,                0.59767,                0.94269,                 0.5542,                    0.8,                0.75303,                0.59665,                0.88913,                 2.6073,                 1.1849,              0.0061885,              0.0061885,              0.0061885
                     80,                0.57386,                0.56557,                0.94033,                0.58692,                    0.8,                0.75078,                0.61022,                0.79352,                 1.8889,                 1.1528,               0.006139,               0.006139,               0.006139
                     81,                 0.6044,                0.56588,                0.96894,                0.58692,                    0.8,                0.75078,                0.61022,                0.79352,                 1.8889,                 1.1528,              0.0060895,              0.0060895,              0.0060895
                     82,                0.61523,                0.61775,                0.98334,                0.65511,                0.76185,                0.74688,                0.61864,                0.77758,                 1.7271,                 1.1295,                0.00604,                0.00604,                0.00604
                     83,                0.54963,                0.58555,                0.97308,                0.59635,                0.88723,                0.79496,                0.61403,                0.80727,                 1.5361,                 1.2316,              0.0059905,              0.0059905,              0.0059905
                     84,                0.60685,                0.49391,                 1.0031,                0.60986,                    0.8,                0.68684,                0.57572,                0.74105,                 1.5602,                 1.0715,               0.005941,               0.005941,               0.005941
                     85,                0.64303,                0.60387,                0.95929,                0.60986,                    0.8,                0.68684,                0.57572,                0.74105,                 1.5602,                 1.0715,              0.0058915,              0.0058915,              0.0058915
                     86,                0.78275,                0.65847,                 1.1172,                  0.619,                    0.6,                0.73322,                0.58932,                0.79928,                  1.662,                 1.1719,               0.005842,               0.005842,               0.005842
                     87,                0.47445,                0.51983,                0.85489,                0.46138,                    0.8,                 0.6369,                 0.5378,                0.68695,                 2.4327,                 1.0364,              0.0057925,              0.0057925,              0.0057925
                     88,                0.79694,                0.81456,                 1.2103,                0.52168,                    0.8,                0.66227,                0.57666,                0.67633,                 1.4595,                  1.038,               0.005743,               0.005743,               0.005743
                     89,                0.65093,                0.67036,                 1.0463,                0.52168,                    0.8,                0.66227,                0.57666,                0.67633,                 1.4595,                  1.038,              0.0056935,              0.0056935,              0.0056935
                     90,                0.55222,                0.54693,                0.97775,                0.51871,                    0.8,                0.65118,                0.57628,                0.67592,                 1.4561,                 1.0441,               0.005644,               0.005644,               0.005644
