                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.73041,                0.77269,                 1.0791,                0.55761,                    0.8,                0.72952,                0.56077,                0.90188,                 1.4846,                 1.0817,              0.0007228,              0.0007228,              0.0007228
                     59,                 1.0004,                 0.8313,                 1.4268,                0.77137,                    0.6,                0.62444,                0.45096,                 1.1276,                 1.7711,                 1.2177,             0.00071785,             0.00071785,             0.00071785
                     60,                 0.8897,                0.74273,                 1.2115,                0.41694,                    0.6,                0.42975,                0.31257,                 1.1456,                 2.4013,                 1.2288,              0.0007129,              0.0007129,              0.0007129
                     61,                  0.635,                  0.676,                0.97858,                0.41694,                    0.6,                0.42975,                0.31257,                 1.1456,                 2.4013,                 1.2288,             0.00070795,             0.00070795,             0.00070795
                     62,                0.69408,                0.63565,                 1.0281,                  0.455,                    0.6,                 0.5147,                0.34615,                 1.0592,                 2.6857,                 1.2361,               0.000703,               0.000703,               0.000703
                     63,                0.81353,                0.81546,                 1.1411,                0.63962,                    0.4,                0.48284,                0.32399,                0.93082,                 2.9364,                 1.1108,             0.00069805,             0.00069805,             0.00069805
                     64,                0.82446,                0.70895,                 1.0934,                0.38383,                0.62402,                0.43186,                0.31419,                0.93062,                 2.1344,                 1.1196,              0.0006931,              0.0006931,              0.0006931
                     65,                0.73487,                0.74709,                 1.0843,                0.38383,                0.62402,                0.43186,                0.31419,                0.93062,                 2.1344,                 1.1196,             0.00068815,             0.00068815,             0.00068815
                     66,                0.77153,                0.92527,                 1.1803,                0.48977,                    0.6,                0.56507,                0.35857,                0.96899,                  1.819,                 1.1603,              0.0006832,              0.0006832,              0.0006832
                     67,                0.70215,                0.65051,                 1.0159,                0.44166,                    0.8,                 0.5841,                0.45263,                 0.9304,                 1.7268,                 1.1347,             0.00067825,             0.00067825,             0.00067825
                     68,                0.75608,                0.72493,                 1.1484,                0.63801,                    0.6,                0.66535,                0.51279,                0.92474,                 2.1611,                 1.1122,              0.0006733,              0.0006733,              0.0006733
                     69,                0.62469,                0.66548,                 1.0626,                0.63801,                    0.6,                0.66535,                0.51279,                0.92474,                 2.1611,                 1.1122,             0.00066835,             0.00066835,             0.00066835
                     70,                0.61062,                 0.6328,                 1.0626,                0.67701,                    0.6,                0.72198,                0.53181,                0.84648,                 2.1695,                 1.0623,              0.0006634,              0.0006634,              0.0006634
                     71,                0.87672,                 0.9368,                 1.1591,                0.53411,                    0.8,                0.71989,                0.57485,                0.87185,                 1.9594,                 1.0775,             0.00065845,             0.00065845,             0.00065845
                     72,                0.67769,                0.80277,                0.96058,                0.53686,                    0.7,                0.66041,                0.54476,                0.90668,                 1.7405,                 1.0969,              0.0006535,              0.0006535,              0.0006535
                     73,                0.78918,                0.80683,                  1.095,                0.53686,                    0.7,                0.66041,                0.54476,                0.90668,                 1.7405,                 1.0969,             0.00064855,             0.00064855,             0.00064855
                     74,                0.75126,                0.79367,                  1.006,                0.53923,                    0.7,                0.70495,                0.55679,                0.85612,                 1.7429,                 1.0909,              0.0006436,              0.0006436,              0.0006436
                     75,                0.58579,                0.64461,                 1.0054,                0.55302,                    0.7,                0.70905,                0.51981,                   0.88,                 2.2311,                 1.1212,             0.00063865,             0.00063865,             0.00063865
                     76,                  0.673,                0.80646,                 1.0511,                 0.4769,                    0.7,                0.74294,                0.57105,                0.82874,                 2.8075,                 1.0662,              0.0006337,              0.0006337,              0.0006337
                     77,                0.64996,                0.62791,                 1.0289,                 0.4769,                    0.7,                0.74294,                0.57105,                0.82874,                 2.8075,                 1.0662,             0.00062875,             0.00062875,             0.00062875
                     78,                0.75651,                0.76443,                 1.0588,                0.56289,                    0.8,                 0.7241,                 0.5857,                0.77901,                 2.9609,                  1.045,              0.0006238,              0.0006238,              0.0006238
                     79,                0.61086,                0.51443,                 0.9794,                0.53362,                    0.8,                0.69559,                0.56795,                0.77506,                 2.8914,                 1.0362,             0.00061885,             0.00061885,             0.00061885
                     80,                0.69008,                0.72376,                 1.0151,                0.53613,                0.80958,                0.71112,                 0.5715,                0.76571,                 2.6302,                 1.0441,              0.0006139,              0.0006139,              0.0006139
                     81,                0.64586,                0.64859,                 1.0178,                0.53613,                0.80958,                0.71112,                 0.5715,                0.76571,                 2.6302,                 1.0441,             0.00060895,             0.00060895,             0.00060895
                     82,                0.71564,                0.61739,                 1.0318,                0.57018,                    0.8,                0.70042,                0.56184,                0.71242,                 2.5081,                 1.0172,               0.000604,               0.000604,               0.000604
                     83,                0.64294,                0.65038,                  1.088,                0.65302,                    0.8,                0.72595,                0.59661,                0.65692,                 2.0295,                0.98419,             0.00059905,             0.00059905,             0.00059905
                     84,                0.65018,                0.72247,                 1.0883,                0.63514,                    0.8,                0.74212,                 0.6037,                0.63207,                 1.6896,                0.96244,              0.0005941,              0.0005941,              0.0005941
                     85,                0.59305,                0.59206,                 1.0062,                0.63514,                    0.8,                0.74212,                 0.6037,                0.63207,                 1.6896,                0.96244,             0.00058915,             0.00058915,             0.00058915
                     86,                0.79952,                0.74208,                 1.2156,                 0.6592,                0.77537,                0.74668,                0.64718,                0.64717,                  1.636,                 0.9546,              0.0005842,              0.0005842,              0.0005842
                     87,                0.54165,                0.62237,                0.95667,                0.67844,                    0.7,                 0.7481,                0.64248,                0.66689,                 1.7556,                0.95818,             0.00057925,             0.00057925,             0.00057925
                     88,                 0.7936,                0.79442,                 1.2717,                0.69064,                    0.7,                0.79227,                0.65125,                 0.7405,                 1.7055,                 0.9882,              0.0005743,              0.0005743,              0.0005743
                     89,                0.72775,                0.76163,                   1.18,                0.69064,                    0.7,                0.79227,                0.65125,                 0.7405,                 1.7055,                 0.9882,             0.00056935,             0.00056935,             0.00056935
                     90,                0.74115,                0.67972,                 1.1104,                0.73705,                    0.6,                0.75936,                 0.5954,                0.81432,                 1.5858,                  1.009,              0.0005644,              0.0005644,              0.0005644
                     91,                0.67706,                0.78124,                 1.0894,                0.84162,                    0.5,                0.68271,                 0.5395,                0.82718,                 1.5275,                 1.0097,             0.00055945,             0.00055945,             0.00055945
                     92,                0.58328,                0.61905,                0.97484,                 0.6277,                    0.4,                 0.5959,                 0.4757,                0.80733,                 1.7152,                 1.0149,              0.0005545,              0.0005545,              0.0005545
                     93,                 0.5624,                0.56588,                0.94178,                 0.6277,                    0.4,                 0.5959,                 0.4757,                0.80733,                 1.7152,                 1.0149,             0.00054955,             0.00054955,             0.00054955
                     94,                0.60048,                0.70762,                 1.0114,                0.39341,                    0.8,                 0.6051,                0.49466,                0.80416,                 2.0519,                 1.0131,              0.0005446,              0.0005446,              0.0005446
                     95,                0.61253,                0.68592,                  1.052,                0.50575,                    0.8,                0.65967,                0.56951,                0.79234,                  2.343,                 1.0039,             0.00053965,             0.00053965,             0.00053965
                     96,                 0.6044,                0.56437,                 0.9466,                0.59235,                    0.9,                0.75061,                0.63365,                0.80973,                 2.6242,                 1.0111,              0.0005347,              0.0005347,              0.0005347
                     97,                0.65354,                0.70764,                 1.0591,                0.59235,                    0.9,                0.75061,                0.63365,                0.80973,                 2.6242,                 1.0111,             0.00052975,             0.00052975,             0.00052975
                     98,                 0.5446,                0.54301,                0.95091,                0.55147,                0.86217,                0.73917,                0.60715,                0.78334,                 3.0017,                 1.0065,              0.0005248,              0.0005248,              0.0005248
                     99,                0.52914,                0.56674,                0.94322,                0.51127,                    0.8,                  0.725,                0.60956,                0.78179,                 3.0705,                 1.0168,             0.00051985,             0.00051985,             0.00051985
                    100,                0.72284,                0.68974,                 1.0872,                0.51782,                    0.8,                0.73231,                0.59551,                0.76231,                 2.5208,                 1.0148,              0.0005149,              0.0005149,              0.0005149
                    101,                0.50833,                0.49526,                0.94374,                0.51782,                    0.8,                0.73231,                0.59551,                0.76231,                 2.5208,                 1.0148,             0.00050995,             0.00050995,             0.00050995
                    102,                0.68489,                0.72962,                  1.078,                0.57978,                    0.8,                0.74492,                0.62005,                0.73445,                 1.9703,                0.99674,               0.000505,               0.000505,               0.000505
                    103,                0.74176,                0.77873,                  1.106,                0.58338,                    0.9,                0.74722,                0.63502,                0.70064,                 1.5938,                0.97595,             0.00050005,             0.00050005,             0.00050005
                    104,                0.55804,                0.62968,                 0.9714,                0.60746,                    0.8,                0.72563,                0.63995,                0.64949,                 1.5027,                 0.9622,              0.0004951,              0.0004951,              0.0004951
                    105,                0.65632,                0.68605,                 1.0338,                0.60746,                    0.8,                0.72563,                0.63995,                0.64949,                 1.5027,                 0.9622,             0.00049015,             0.00049015,             0.00049015
                    106,                0.83416,                0.72685,                 1.2652,                0.51921,                    0.9,                 0.7154,                0.61331,                0.63361,                 1.4964,                0.95546,              0.0004852,              0.0004852,              0.0004852
                    107,                 0.5864,                0.56699,                 1.0533,                0.61062,                    0.8,                0.71522,                0.61381,                0.65447,                  1.539,                0.96089,             0.00048025,             0.00048025,             0.00048025
                    108,                0.63984,                 0.6263,                 1.0159,                0.57514,                    0.7,                0.69199,                 0.6063,                0.63395,                 1.6596,                0.95994,              0.0004753,              0.0004753,              0.0004753
                    109,                0.68005,                0.57228,                 1.0652,                0.57514,                    0.7,                0.69199,                 0.6063,                0.63395,                 1.6596,                0.95994,             0.00047035,             0.00047035,             0.00047035
                    110,                0.62426,                0.59179,                 1.0376,                0.58059,                    0.7,                0.66176,                0.57232,                0.61754,                 1.7147,                0.95517,              0.0004654,              0.0004654,              0.0004654
                    111,                0.66862,                0.68146,                 1.1095,                0.57666,                    0.7,                0.62162,                0.56974,                0.58474,                 1.7162,                0.93986,             0.00046045,             0.00046045,             0.00046045
                    112,                0.55452,                0.62265,                 1.0123,                0.57224,                    0.7,                0.62736,                0.56547,                0.57714,                 1.7629,                 0.9323,              0.0004555,              0.0004555,              0.0004555
                    113,                 0.5559,                0.55939,                0.99017,                0.57224,                    0.7,                0.62736,                0.56547,                0.57714,                 1.7629,                 0.9323,             0.00045055,             0.00045055,             0.00045055
                    114,                 0.5171,                0.53455,                0.99362,                0.60246,                0.75967,                0.64066,                0.58205,                 0.5798,                 1.7687,                0.93671,              0.0004456,              0.0004456,              0.0004456
                    115,                0.53533,                0.52547,                0.99765,                0.58739,                    0.8,                 0.6382,                0.57755,                0.60659,                 1.6818,                0.95244,             0.00044065,             0.00044065,             0.00044065
                    116,                 0.4721,                0.47305,                0.94093,                0.59589,                    0.8,                0.64875,                0.55901,                0.64168,                 1.5574,                0.95631,              0.0004357,              0.0004357,              0.0004357
                    117,                0.50747,                0.46831,                 1.0198,                0.59589,                    0.8,                0.64875,                0.55901,                0.64168,                 1.5574,                0.95631,             0.00043075,             0.00043075,             0.00043075
                    118,                0.54644,                0.53186,                0.96862,                0.55678,                    0.8,                0.63095,                0.52805,                0.65933,                 1.4938,                0.96004,              0.0004258,              0.0004258,              0.0004258
                    119,                 0.5908,                0.61818,                 1.0179,                0.63248,                    0.8,                0.62436,                0.52415,                0.67034,                 1.5034,                0.95854,             0.00042085,             0.00042085,             0.00042085
                    120,                0.50362,                0.45363,                  0.958,                 0.6035,                    0.8,                0.58512,                0.48526,                0.66005,                 1.4877,                0.95042,              0.0004159,              0.0004159,              0.0004159
                    121,                0.53201,                0.46924,                0.94177,                 0.6035,                    0.8,                0.58512,                0.48526,                0.66005,                 1.4877,                0.95042,             0.00041095,             0.00041095,             0.00041095
                    122,                0.43749,                0.44708,                0.91715,                0.60064,                    0.8,                0.59927,                0.50446,                0.64214,                 1.5878,                 0.9451,               0.000406,               0.000406,               0.000406
                    123,                0.56167,                0.50344,                 0.9971,                0.52573,                    0.8,                0.60516,                0.52473,                 0.6227,                 1.5446,                0.93575,             0.00040105,             0.00040105,             0.00040105
                    124,                0.43438,                0.39837,                 0.8712,                 0.6302,                    0.7,                0.58975,                0.51258,                 0.6209,                 1.5817,                0.94336,              0.0003961,              0.0003961,              0.0003961
                    125,                0.44352,                0.44351,                0.92193,                 0.6302,                    0.7,                0.58975,                0.51258,                 0.6209,                 1.5817,                0.94336,             0.00039115,             0.00039115,             0.00039115
                    126,                0.49756,                 0.4278,                0.90315,                0.61897,                    0.7,                 0.5235,                0.42665,                0.63742,                 1.5387,                0.96219,              0.0003862,              0.0003862,              0.0003862
                    127,                0.62187,                0.61112,                 1.1141,                0.69537,                0.68612,                0.53644,                0.41984,                0.67112,                 1.5552,                0.98692,             0.00038125,             0.00038125,             0.00038125
                    128,                 0.4648,                 0.4243,                0.95223,                0.69489,                0.68466,                0.53536,                0.42036,                0.71049,                 1.5106,                0.99973,              0.0003763,              0.0003763,              0.0003763
                    129,                0.53789,                0.54167,                0.95957,                0.69489,                0.68466,                0.53536,                0.42036,                0.71049,                 1.5106,                0.99973,             0.00037135,             0.00037135,             0.00037135
                    130,                0.46356,                0.43188,                0.90603,                0.69414,                    0.7,                0.56634,                0.46111,                0.72632,                 1.5029,                 1.0036,              0.0003664,              0.0003664,              0.0003664
                    131,                0.50037,                0.57471,                 1.0269,                0.69388,                0.68165,                 0.6208,                0.53565,                0.72388,                 1.4938,                 1.0024,             0.00036145,             0.00036145,             0.00036145
                    132,                  0.482,                0.45982,                0.94652,                0.61939,                    0.7,                0.62967,                0.55788,                0.70415,                   1.49,                0.99785,              0.0003565,              0.0003565,              0.0003565
                    133,                0.72349,                0.70943,                 1.0939,                0.61939,                    0.7,                0.62967,                0.55788,                0.70415,                   1.49,                0.99785,             0.00035155,             0.00035155,             0.00035155
                    134,                0.42928,                0.45948,                0.93636,                0.61078,                    0.7,                0.65098,                0.58385,                0.69198,                 1.5592,                0.99808,              0.0003466,              0.0003466,              0.0003466
                    135,                0.49969,                0.39946,                0.85326,                0.54894,                    0.9,                 0.6759,                0.61359,                0.65898,                 1.5532,                 0.9904,             0.00034165,             0.00034165,             0.00034165
